date_time,0460e71d-3f0d-438d-b408-575af7df8aa3,1c5ee606-1f1e-4403-ba34-89af7a4f39ad,240c35d1-842b-4d6c-a5dd-c778e84a07d3,2bd8dc60-d7da-4f63-b808-4b8b0ac75404,2cb8abc4-7483-407e-a41d-ab65bfb81997,33feea96-a4ad-4350-8836-f3a66bf898dc,3709bd45-b735-42c3-ba78-d6a6bdcaa7d7,3872baf6-69b1-4602-81cb-cb68b34483ae,499d2422-8e91-4c85-add1-28d6dcad25bb,565282f5-1ae2-4a88-b432-71fa038a5510,695e2b68-e895-4523-9ed0-07bee6d42876,695e88f0-a9c2-4f92-b2cb-d13161ca86e9,70cba9a0-11c5-4f2b-97a6-481551ca4bd9,762a2059-035c-4aec-bc73-6f9b8113ac9a,77cbddce-e581-4527-a48a-9016227fe791,7d4351a1-6b5d-44b0-861a-607a5f0af837,80587d4e-3161-42de-a484-85748fd1daf4,88080e75-9425-4d30-b1a3-2e1c95921bc6,8d6db1c8-0187-42fd-8db8-4dd9dad511bc,8f5e0c95-0862-4bdd-a20f-476f017912c8,967735d2-a9af-461d-9b24-6102f010da7f,9d2da6c9-be46-4749-a227-aa54fa9dd722,a01bcb46-01a4-4f1d-895d-826a30930ba1,ad21eb2d-9eab-429f-98c5-d287d6c82e15,b3ebaf0e-409a-4496-bc3a-500a9ee4294f,d8e2bb2d-550f-4421-bf32-8b68e4c91d35,d996e352-5a6d-46ab-b539-52eaf5f82c4d,da02b813-77a5-4217-8ffd-5ae18f1eaab4,da67d58e-7958-430c-84b5-bbb4590de63c,db1db795-134f-4a7d-9402-45898b515676,e031eb89-fa92-496c-bb7a-fbc7882f6599,fdb31475-3c23-472a-b1ba-4c3349109ac4,fe7ad7ab-d1ba-4b90-be30-1ef7659980cc
01/01/2021 00:00,0.39542265,0.439941954,0.299794237,0.365652906,0.364847941,0.326273118,0.331213031,0.41243547,0.269889638,0.294797885,0.390303026,0.332466918,0.36491002,0.319336363,0.390133311,0.29939781,0.418490806,0.376083591,0.327373984,0.428970024,0.327774747,0.326397285,0.328454241,0.316871791,0.306577294,0.401504546,0.355691453,0.395845221,0.353919875,0.354920682,0.287525025,0.341676321,0.47887932
01/01/2021 00:30,0.39591161,0.405503784,0.296164331,0.361621735,0.358467828,0.326335076,0.303091805,0.396716196,0.260470109,0.283487593,0.378005092,0.324561122,0.342026781,0.310851024,0.381920533,0.293093066,0.412597577,0.357354699,0.295842118,0.42303577,0.329342401,0.307345424,0.317094214,0.316285527,0.274680266,0.376828938,0.335854277,0.385711405,0.347893352,0.342339885,0.272824881,0.332282602,0.470658922
01/01/2021 01:00,0.368980219,0.401948902,0.274041955,0.35890059,0.342412898,0.331685556,0.306731053,0.39069339,0.246577962,0.275234638,0.353416627,0.310306156,0.334386124,0.299271618,0.379158606,0.28892944,0.381640238,0.35088745,0.293895232,0.398574462,0.313477235,0.29488599,0.301727914,0.311391848,0.257715886,0.352842004,0.323027691,0.37825477,0.336258135,0.325920621,0.272569847,0.327531859,0.459185081
01/01/2021 01:30,0.355975603,0.392030093,0.271600704,0.355425442,0.340529246,0.313200065,0.302822232,0.384916923,0.245295336,0.269859542,0.345733657,0.305534057,0.323428648,0.297749486,0.365782931,0.282180657,0.355156481,0.356845158,0.290521484,0.395730794,0.29981698,0.292209142,0.294715264,0.303314429,0.245132063,0.360165282,0.319827584,0.366842428,0.326060852,0.314869094,0.254018694,0.324885572,0.433553642
01/01/2021 02:00,0.357922864,0.38515543,0.260647048,0.345016849,0.325490408,0.305012812,0.296448364,0.384570621,0.24123071,0.256556411,0.347469357,0.307855856,0.313499315,0.27709332,0.365957326,0.272828467,0.359694079,0.358755936,0.286666137,0.40133994,0.297030889,0.292811539,0.284304972,0.296030909,0.236382694,0.347949783,0.316127551,0.368129534,0.320068208,0.31512907,0.24907614,0.322487749,0.421198567
01/01/2021 02:30,0.353037556,0.374425929,0.260382579,0.330661331,0.31735492,0.304636641,0.286119017,0.383760202,0.233733846,0.241610115,0.337406739,0.31388377,0.311545138,0.2760381,0.357943277,0.269650243,0.354422181,0.340686835,0.281529945,0.395228728,0.286663982,0.280296956,0.284495587,0.300028906,0.239345148,0.342756503,0.292552558,0.360514156,0.314707953,0.313398446,0.235105393,0.318763789,0.416881412
01/01/2021 03:00,0.340333179,0.36484761,0.259269485,0.356095198,0.308324866,0.299848204,0.286686677,0.388576304,0.240501423,0.249145152,0.34509711,0.307867538,0.318446376,0.276585943,0.345650472,0.262725061,0.343844494,0.332795485,0.272466679,0.398813149,0.269684889,0.278481281,0.284656106,0.304963297,0.245648804,0.340220075,0.288651973,0.365332224,0.314948863,0.314996534,0.232618814,0.316575513,0.425947438
01/01/2021 03:30,0.353243433,0.368929441,0.262666891,0.349570345,0.312142807,0.305397834,0.280971192,0.38761237,0.230248059,0.257181494,0.344168196,0.293221225,0.313031017,0.275919816,0.348286673,0.254048054,0.33800775,0.339968252,0.266585034,0.403924344,0.2736002,0.284916746,0.277101705,0.317022429,0.248153237,0.350346971,0.309067551,0.361766939,0.307574748,0.327251086,0.235273715,0.320982,0.423303736
01/01/2021 04:00,0.319093451,0.373400405,0.281973111,0.331920809,0.327438199,0.291390992,0.291152791,0.379675975,0.226150284,0.256475954,0.332306964,0.274459926,0.30095385,0.25578659,0.323883569,0.23689781,0.331274783,0.362642818,0.280933071,0.435237617,0.258718959,0.264184961,0.276790701,0.302891016,0.246212522,0.340223838,0.335197398,0.3559578,0.299364975,0.352254654,0.25429158,0.33264482,0.420375192
01/01/2021 04:30,0.354916191,0.348451377,0.280993705,0.330463353,0.332059561,0.316324498,0.304688513,0.365324061,0.218745219,0.253588813,0.341366651,0.270528932,0.293647692,0.262317126,0.332201795,0.2456691,0.326115854,0.351655028,0.279457536,0.434077104,0.301473849,0.283020469,0.281225023,0.313382704,0.270936828,0.320839355,0.396851048,0.361947134,0.315784521,0.365401281,0.245049158,0.339544923,0.405625654
01/01/2021 05:00,0.407882547,0.357677045,0.281133205,0.370673968,0.346838468,0.32534818,0.307920807,0.407176671,0.219334258,0.275151088,0.351958491,0.289845126,0.321583623,0.28504638,0.341416329,0.266812652,0.312469169,0.362032023,0.316489355,0.470299923,0.279728069,0.291267367,0.286518789,0.346624705,0.28387004,0.310603324,0.368686619,0.37049781,0.339706165,0.377365271,0.248367147,0.351869314,0.401215034
01/01/2021 05:30,0.445699727,0.36287763,0.273733892,0.435315922,0.367612656,0.368541474,0.303794253,0.418836709,0.255082058,0.311071708,0.392249674,0.319061818,0.350843465,0.311317936,0.359865675,0.296727494,0.304267602,0.372471077,0.364334075,0.449859257,0.292442634,0.339590625,0.301039023,0.364648262,0.328867632,0.366325717,0.384937117,0.391353221,0.386841778,0.427984116,0.293049056,0.361963521,0.438841044
01/01/2021 06:00,0.466321821,0.413087802,0.298989206,0.495358045,0.346818214,0.363483079,0.374466684,0.441292815,0.261041299,0.334503043,0.407190017,0.338284556,0.380367385,0.31993401,0.363248123,0.290237226,0.340489307,0.423964097,0.384412617,0.44493325,0.276279231,0.38294623,0.294772114,0.398663806,0.325875818,0.411183616,0.383594293,0.446891853,0.414173809,0.493110638,0.33126586,0.346633618,0.473899014
01/01/2021 06:30,0.452926896,0.43531696,0.34017949,0.553930076,0.352378027,0.383119211,0.35384428,0.448854346,0.278651279,0.360790575,0.422922341,0.390400897,0.405215364,0.360054162,0.42668727,0.301836983,0.386064867,0.48171859,0.388203921,0.473369932,0.301981107,0.399817584,0.301998789,0.380892669,0.351193203,0.384035555,0.372811008,0.481060232,0.440568548,0.52554391,0.356537152,0.353153542,0.498836148
01/01/2021 07:00,0.470735327,0.444044053,0.35255721,0.51152064,0.374843451,0.424772416,0.370220895,0.47211373,0.327079997,0.382278583,0.415109841,0.41775431,0.396602901,0.354401419,0.473753584,0.312311436,0.42931326,0.49577669,0.429001427,0.503958913,0.327055921,0.412565489,0.326160164,0.385574641,0.401270126,0.433307743,0.414586791,0.50127638,0.464189054,0.60316457,0.372127364,0.413371531,0.569121214
01/01/2021 07:30,0.508732651,0.478838928,0.372369117,0.526457456,0.396120621,0.410128296,0.375866395,0.458632927,0.315475158,0.378122708,0.412785706,0.424404291,0.394476192,0.389248584,0.460929484,0.334340024,0.489638837,0.508459684,0.451380368,0.500403299,0.347050517,0.462683211,0.332380255,0.403268424,0.362000728,0.462130449,0.409863654,0.533166582,0.479490625,0.660124788,0.422828069,0.413057209,0.562663284
01/01/2021 08:00,0.584006725,0.447623255,0.391980493,0.578774221,0.349603184,0.45261793,0.381895519,0.442885092,0.324356647,0.385462794,0.434665147,0.508062043,0.388877739,0.392952749,0.453779297,0.335809002,0.487390749,0.467324061,0.488865606,0.545087162,0.364671965,0.473377877,0.32601971,0.419679753,0.342094446,0.452861573,0.398071797,0.534488011,0.49559774,0.625965989,0.411843766,0.41154248,0.595064201
