date_time,0460e71d-3f0d-438d-b408-575af7df8aa3,1c5ee606-1f1e-4403-ba34-89af7a4f39ad,240c35d1-842b-4d6c-a5dd-c778e84a07d3,2bd8dc60-d7da-4f63-b808-4b8b0ac75404,2cb8abc4-7483-407e-a41d-ab65bfb81997,33feea96-a4ad-4350-8836-f3a66bf898dc,3709bd45-b735-42c3-ba78-d6a6bdcaa7d7,3872baf6-69b1-4602-81cb-cb68b34483ae,499d2422-8e91-4c85-add1-28d6dcad25bb,565282f5-1ae2-4a88-b432-71fa038a5510,695e2b68-e895-4523-9ed0-07bee6d42876,695e88f0-a9c2-4f92-b2cb-d13161ca86e9,70cba9a0-11c5-4f2b-97a6-481551ca4bd9,762a2059-035c-4aec-bc73-6f9b8113ac9a,77cbddce-e581-4527-a48a-9016227fe791,7d4351a1-6b5d-44b0-861a-607a5f0af837,80587d4e-3161-42de-a484-85748fd1daf4,88080e75-9425-4d30-b1a3-2e1c95921bc6,8d6db1c8-0187-42fd-8db8-4dd9dad511bc,8f5e0c95-0862-4bdd-a20f-476f017912c8,967735d2-a9af-461d-9b24-6102f010da7f,9d2da6c9-be46-4749-a227-aa54fa9dd722,a01bcb46-01a4-4f1d-895d-826a30930ba1,ad21eb2d-9eab-429f-98c5-d287d6c82e15,b3ebaf0e-409a-4496-bc3a-500a9ee4294f,d8e2bb2d-550f-4421-bf32-8b68e4c91d35,d996e352-5a6d-46ab-b539-52eaf5f82c4d,da02b813-77a5-4217-8ffd-5ae18f1eaab4,da67d58e-7958-430c-84b5-bbb4590de63c,db1db795-134f-4a7d-9402-45898b515676,e031eb89-fa92-496c-bb7a-fbc7882f6599,fdb31475-3c23-472a-b1ba-4c3349109ac4,fe7ad7ab-d1ba-4b90-be30-1ef7659980cc
01/01/2021 05:00,0.004131105,0.027134285,-0.079037801,0.02752567,0.000141919,-0.110410358,-0.025709039,0.067267874,-0.143053669,-0.141511227,0.004941786,-0.024360743,-0.088172904,-0.208491249,0.020130292,-0.008746611,-0.087508427,-0.005283449,-0.104328496,-0.013988165,-0.053937933,0.014892726,-0.122476424,-0.02711959,-0.087368991,-0.032290047,-0.141309733,-0.081838227,-0.087191456,-0.19858156,-0.186604367,-0.017965236,-0.019733857
01/01/2021 05:30,0.007410436,0.027909059,-0.056464835,0.027278764,0.022174916,-0.118986099,-0.050125825,0.055217118,-0.134738226,-0.125582616,0.015517207,0.003185636,-0.069490471,-0.241042456,0.003564081,-0.016958706,-0.083889224,-0.012100237,-0.129837967,-0.016856372,-0.063597574,0.052883307,-0.107556984,-0.026958919,-0.073533718,-0.040182737,-0.166703906,-0.069579492,-0.08839223,-0.188377094,-0.184804651,-0.015919313,-0.046283349
01/01/2021 06:00,-0.00256384,0.041217944,-0.062476265,0.058644235,0.019167997,-0.115596551,-0.049154206,0.08131379,-0.127982475,-0.11682188,0.021526419,-0.013756154,-0.046258828,-0.231716561,0.014238279,-0.020661438,-0.084519036,-0.008236222,-0.123735303,-0.013997213,-0.038115086,0.0766719,-0.103480357,-0.014401204,-0.078964884,-0.015892302,-0.154910285,-0.065392872,-0.103148228,-0.156198129,-0.180867243,-0.01809205,-0.054663987
01/01/2021 06:30,-0.002878997,0.017630399,-0.067950464,0.064365624,0.038220685,-0.083118014,-0.04478192,0.059313843,-0.090532311,-0.06962432,0.019144478,-0.013262125,-0.024398763,-0.213107354,0.03282564,0.00660855,-0.067922152,-0.004004206,-0.113355704,-0.023361865,-0.018143927,0.075991627,-0.114923669,0.007128723,-0.058447148,-0.029957232,-0.150120948,-0.072153632,-0.064165335,-0.156660254,-0.185793227,-0.021854181,-0.0242807
01/01/2021 07:00,0.001788726,0.030724069,-0.05253749,0.094854156,0.034486429,-0.093036609,-0.026204565,0.085188831,-0.087815991,-0.056356511,0.00525806,-0.003679665,-0.020241432,-0.231265171,0.060679612,-0.001273118,-0.024793315,0.015272058,-0.104996239,-0.002044842,-0.029107323,0.095196232,-0.092485305,0.00624926,-0.038524001,-0.011644635,-0.106570038,-0.064576918,-0.084570047,-0.122764826,-0.175231513,0.005114808,-0.006241492
01/01/2021 07:30,-0.000732526,0.022623383,-0.079315679,0.121230439,0.030397374,-0.12930292,0.001029916,0.084018338,-0.090584885,-0.047134208,0.011020182,0.003449686,-0.012548665,-0.187565473,0.107599163,0.021604128,-0.033628428,0.019101025,-0.051788114,-0.007790304,-0.038924995,0.129492412,-0.090743012,0.006232347,-0.042375514,0.008689736,-0.09499014,-0.045547709,-0.072071844,-0.102761431,-0.141569217,0.01365358,-0.000351894
01/01/2021 08:00,-0.008083338,0.029957904,-0.031659581,0.131515317,0.018192301,-0.097278174,0.025252378,0.080143297,-0.043461117,-0.030101454,0.0152207,0.026626463,-0.00901323,-0.179917387,0.067374671,0.049262855,0.005757017,0.012398142,-0.04360615,3.62E-05,-0.010706596,0.16166405,-0.099395272,0.013200399,-0.041851921,0.027760498,-0.06752674,-0.032327314,-0.0593115,-0.061009884,-0.122253954,0.004201752,0.012297777
01/01/2021 08:30,0.006797158,0.021702263,-0.016228082,0.190866211,0.031000532,-0.079858121,0.03147074,0.10923714,-0.053415115,-0.021295467,0.010881812,0.032052265,-0.00620192,-0.180428395,0.069973292,0.056755785,0.016756555,0.028765443,-0.017657152,-0.006279293,-0.005689114,0.182490842,-0.097991289,0.02980026,-0.013897394,0.000641524,-0.064864917,-0.047772155,-0.041528197,-0.036149464,-0.092098148,0.011556931,0.022900905
01/01/2021 09:00,-0.00279382,0.027332283,-0.02514797,0.25920786,0.049272663,-0.073569861,0.058899544,0.138774352,-0.051820372,-0.017005602,-0.003103441,0.047401237,-0.011057819,-0.166588596,0.081630996,0.065842542,0.032226874,0.043485499,-0.004538962,0.002044842,0.02505778,0.14585034,-0.095986806,0.056513945,0.002254111,-0.007212286,-0.057025171,-0.047325323,-0.035684991,-0.002829335,-0.089875963,0.010660783,0.037467473
01/01/2021 09:30,-0.010740873,0.033711251,-0.025935291,0.196732338,0.064342735,-0.078005909,0.053205857,0.135103261,-0.063150055,-0.014806368,0.009774852,0.048193387,-0.010623344,-0.186262403,0.096437723,0.073296598,0.025547316,0.033610795,0.008122797,0.00076003,0.01665251,0.124144427,-0.088856937,0.040184687,-0.007481164,-0.00628888,-0.085634903,-0.015163142,-0.033833092,-0.005139958,-0.058309112,0.001031416,0.043644142
